num_contrato,Status,Prazo,DataInicio,Tipo,Valor,id_cliente,id_colaborador
E40198282,1,36,2022-11-12,Consignado,4382.1,C00067,F0073
E75420791,1,24,2023-06-12,Consignado,7379.29,C00070,F0021
E15152788,1,24,2022-03-18,Refinanciamento,5192.99,C00070,F0081
E76392940,1,36,2023-11-23,Automático,574.78,C00071,F0074
E68336182,1,24,2021-10-21,Automático,981.33,C00075,F0068
E81863026,0,36,2021-03-21,Pessoal,7920.38,C00077,F0031
E93569071,1,36,2022-11-18,Refinanciamento,4995.51,C00077,F0077
E14836005,1,24,2021-05-20,Refinanciamento,13029.21,C00084,F0030
E70829268,1,12,2022-11-19,Consignado,2557.62,C00086,F0090
E79032526,1,18,2023-06-27,Refinanciamento,3118.1,C00086,F0033
E13717993,1,6,2023-09-08,Refinanciamento,406.94,C00088,F0068
E90358859,1,24,2022-10-25,Consignado,7850.25,C00089,F0046
E58470578,1,36,2022-06-08,Pessoal,418.71,C00090,F0095
E41912683,1,12,2023-05-04,Pessoal,1010.87,C00090,F0048
E50218126,1,36,2021-01-06,Consignado,964.98,C00091,F0021
E52207873,1,24,2021-05-26,Pessoal,495.29,C00092,F0039
E99102789,1,36,2023-12-22,Refinanciamento,1192.83,C00092,F0092
E29224096,1,36,2021-11-23,Refinanciamento,1567.54,C00093,F0037
E66193693,1,36,2023-01-17,Refinanciamento,5193.56,C00094,F0075
E70523058,1,6,2022-08-01,Consignado,4175.21,C00094,F0066
E59696200,1,6,2023-09-14,Pessoal,13596.13,C00095,F0051
E79488283,1,18,2022-09-03,Consignado,10956.02,C00095,F0005
E13891497,1,36,2023-02-05,Pessoal,5354.05,C00096,F0050
E61368082,0,18,2022-07-22,Pessoal,1088.13,C00098,F0099
E29629878,1,36,2021-02-26,Refinanciamento,347.29,C00098,F0069
E78973532,1,36,2022-05-07,Consignado,11003.42,C00099,F0052
E72333637,1,6,2023-06-06,Automático,6121.14,C00100,F0021
E35722562,1,36,2021-12-01,Consignado,1155.18,C00102,F0071
E76491872,1,6,2022-01-23,Automático,806.24,C00102,F0061
E49978878,1,18,2023-08-03,Refinanciamento,2064.06,C00103,F0058
E45720917,1,12,2023-07-16,Consignado,26185.71,C00104,F0074
E16276230,1,6,2023-04-19,Consignado,5637.44,C00106,F0074
E11070606,1,24,2022-11-16,Pessoal,5775.21,C00109,F0097
E69533781,1,36,2021-12-27,Refinanciamento,7370.57,C00109,F0072
E58998542,1,6,2021-12-04,Pessoal,2172.02,C00109,F0094
E24057169,1,6,2021-10-28,Automático,8680.64,C00111,F0050
E84624001,1,18,2023-11-07,Consignado,12632.48,C00112,F0030
E76701647,1,24,2022-10-27,Refinanciamento,8655.48,C00112,F0094
E36973093,1,18,2023-04-12,Pessoal,5704.97,C00114,F0069
E81488721,1,36,2023-01-22,Pessoal,3383.89,C00114,F0045
E82619339,1,18,2023-10-27,Automático,234.5,C00115,F0028
E38544577,1,6,2023-01-08,Automático,1023.76,C00115,F0052
E63546380,1,12,2022-05-04,Refinanciamento,1402.52,C00115,F0042
E65203787,1,24,2022-09-12,Pessoal,718.45,C00116,F0026
E95805441,1,18,2023-08-15,Automático,1009.57,C00117,F0024
E94781930,1,6,2023-03-25,Consignado,484.9,C00117,F0052
E48741693,1,6,2023-01-27,Refinanciamento,1385.13,C00117,F0041
E62468977,1,12,2023-10-20,Refinanciamento,9017.44,C00120,F0052
E57672378,1,12,2023-02-28,Automático,2991.14,C00122,F0038
E91235729,1,24,2021-11-24,Refinanciamento,1480.51,C00124,F0054
E74375724,1,18,2022-12-05,Pessoal,646.18,C00125,F0025
E18136024,1,6,2023-06-25,Refinanciamento,11280.09,C00126,F0087
E48532169,1,18,2021-09-03,Pessoal,5316.05,C00126,F0018
E66109918,1,12,2022-04-07,Refinanciamento,11286.71,C00126,F0067
E95552822,1,12,2022-05-23,Pessoal,861.9,C00128,F0026
E42812959,1,6,2022-09-27,Pessoal,1360.61,C00128,F0093
E31045808,1,36,2021-03-24,Pessoal,1226.36,C00128,F0069
E37551487,1,36,2023-11-13,Automático,370.98,C00130,F0036
E60671293,1,18,2021-12-15,Consignado,3447.01,C00131,F0038
E39809186,0,12,2021-01-11,Automático,1298.62,C00133,F0055
E97178708,0,6,2022-04-01,Pessoal,328.38,C00134,F0071
E96821504,1,24,2022-11-25,Consignado,6556.71,C00135,F0055
E80378298,1,6,2021-09-05,Refinanciamento,2806.06,C00135,F0083
E52917486,1,12,2022-06-05,Automático,3748.7,C00135,F0040
E79572760,1,12,2022-01-25,Pessoal,6682.14,C00136,F0002
E40758953,1,18,2022-10-09,Consignado,12498.69,C00140,F0025
E12305534,1,6,2023-04-06,Consignado,12713.83,C00142,F0013
E70360232,1,6,2023-04-26,Consignado,35664.61,C00143,F0095
E44041262,1,12,2022-12-21,Consignado,36144.0,C00143,F0056
E53299767,1,36,2023-09-07,Refinanciamento,1086.15,C00144,F0074
E70517802,1,18,2021-08-05,Pessoal,14187.77,C00145,F0013
E89584405,1,12,2022-05-06,Consignado,6742.74,C00147,F0083
E45769783,1,36,2022-03-17,Automático,3522.95,C00148,F0032
E24045724,1,6,2022-10-24,Refinanciamento,3416.17,C00148,F0089
E83782076,1,12,2023-03-17,Consignado,8304.26,C00149,F0091
E85325754,0,24,2023-03-08,Consignado,8519.73,C00150,F0025
E64107799,0,18,2022-03-01,Automático,542.1,C00151,F0020
E26560255,1,6,2022-07-19,Pessoal,7958.13,C00153,F0036
E81235326,1,12,2023-03-11,Pessoal,1569.81,C00153,F0079
E18516375,1,12,2021-05-26,Pessoal,19670.17,C00154,F0010
E85745621,1,12,2023-01-21,Consignado,14239.38,C00155,F0045
E33412680,1,12,2021-11-08,Consignado,10006.32,C00155,F0069
E79851910,1,12,2023-05-02,Consignado,9484.24,C00155,F0023
E86206696,1,36,2021-04-14,Refinanciamento,6390.16,C00157,F0080
E88789782,1,12,2021-01-12,Consignado,1143.43,C00160,F0086
E83262989,1,24,2023-10-22,Automático,1353.11,C00161,F0051
E20349100,1,18,2022-02-01,Pessoal,783.29,C00161,F0022
E45197382,1,12,2023-09-01,Refinanciamento,7707.09,C00162,F0017
E34146567,1,24,2023-12-05,Consignado,1018.77,C00162,F0075
E65164429,1,18,2023-03-13,Pessoal,684.18,C00173,F0019
E56825991,1,18,2023-09-25,Automático,1113.45,C00173,F0090
E66252899,1,6,2023-11-10,Refinanciamento,2250.16,C00174,F0011
E52985313,1,6,2021-06-08,Automático,5994.26,C00177,F0066
E55464236,1,12,2022-03-25,Refinanciamento,6308.29,C00177,F0089
E13822593,1,12,2023-02-09,Automático,4662.21,C00179,F0043
E65005909,1,36,2023-05-27,Refinanciamento,1117.57,C00181,F0020
E34686858,1,18,2021-03-15,Automático,659.61,C00181,F0019
E66562302,0,12,2021-05-16,Consignado,1144.34,C00182,F0028
E64228201,1,18,2022-11-15,Refinanciamento,1117.6,C00182,F0071
E34692125,1,18,2021-07-16,Consignado,273.1,C00185,F0073
E25929233,1,24,2022-02-11,Pessoal,6292.43,C00186,F0002
E15934039,1,12,2023-06-20,Pessoal,5500.51,C00186,F0006
E15254587,1,18,2022-07-24,Pessoal,213.16,C00188,F0034
E62709298,1,24,2022-02-03,Consignado,12526.31,C00192,F0061
E28999394,1,6,2022-05-28,Consignado,13995.85,C00192,F0002
E57321142,1,6,2022-04-12,Refinanciamento,787.29,C00193,F0043
E30889471,1,12,2022-12-19,Consignado,6824.26,C00194,F0014
E76259693,1,6,2022-12-06,Refinanciamento,6721.75,C00194,F0082
E48501384,1,18,2023-12-08,Automático,38895.53,C00195,F0069
E41326979,1,18,2023-01-07,Automático,4565.41,C00197,F0088
E88359908,1,6,2023-09-05,Pessoal,1279.35,C00197,F0071
E94889187,1,12,2022-04-16,Consignado,2503.19,C00199,F0052
E82806673,1,18,2023-06-04,Pessoal,690.41,C00200,F0027
E28576640,1,18,2022-04-06,Refinanciamento,1477.28,C00200,F0020
E10756610,1,6,2021-05-05,Pessoal,1123.36,C00202,F0061
E35598015,1,12,2022-07-01,Pessoal,1342.36,C00202,F0064
E80296448,0,6,2023-07-26,Automático,1335.76,C00203,F0100
E17815243,1,24,2021-08-13,Automático,3563.32,C00204,F0100
E79980286,1,36,2022-04-16,Pessoal,6473.3,C00204,F0008
E82547966,1,36,2023-10-23,Consignado,1173.15,C00205,F0039
E46863440,1,36,2023-03-08,Automático,1349.04,C00205,F0056
E32723832,1,36,2021-11-24,Pessoal,3869.8,C00207,F0050
E34283112,1,12,2022-08-11,Consignado,7310.41,C00207,F0063
E90681201,1,6,2022-11-02,Automático,2678.87,C00207,F0062
E57098496,1,24,2022-07-25,Pessoal,7084.56,C00208,F0032
E81143420,1,36,2022-10-08,Pessoal,7041.94,C00208,F0091
E21782196,1,24,2022-11-22,Automático,17049.87,C00209,F0067
E46103766,1,24,2023-03-23,Automático,10459.52,C00209,F0012
E74814206,1,36,2023-04-28,Automático,1294.74,C00210,F0039
E39913232,1,36,2023-08-11,Automático,1321.11,C00210,F0099
E75321383,1,24,2022-02-16,Consignado,222.84,C00212,F0047
E27080909,1,12,2022-07-19,Automático,12870.9,C00213,F0029
E60112386,1,36,2023-08-28,Pessoal,2624.62,C00214,F0089
E30252280,1,6,2023-01-03,Pessoal,6222.52,C00220,F0027
E44196490,0,12,2023-03-24,Consignado,6770.66,C00220,F0094
E93791483,1,12,2022-06-22,Consignado,10686.24,C00221,F0037
E33562422,0,18,2023-01-05,Automático,7286.24,C00222,F0093
E70833043,0,24,2021-04-01,Automático,246.26,C00223,F0076
E89821280,1,6,2023-11-26,Automático,857.15,C00224,F0058
E34997482,1,12,2023-01-04,Automático,799.06,C00224,F0076
E61996664,1,18,2021-05-27,Pessoal,3531.05,C00225,F0016
E15100550,1,18,2022-05-27,Automático,5627.52,C00225,F0046
E84542183,1,24,2022-08-26,Automático,13670.81,C00226,F0025
E31839489,1,24,2023-06-25,Refinanciamento,14802.66,C00227,F0091
E92015638,1,36,2023-07-14,Automático,1469.85,C00228,F0017
E83422383,1,36,2023-06-03,Automático,11665.2,C00229,F0061
E45530431,1,12,2023-01-25,Consignado,3763.6,C00231,F0071
E48356407,1,24,2021-07-18,Refinanciamento,4234.32,C00231,F0039
E44215113,1,12,2022-05-15,Consignado,2193.11,C00233,F0028
E15345245,1,18,2022-03-17,Consignado,7421.86,C00233,F0020
E98498299,1,12,2022-11-28,Consignado,213.54,C00234,F0041
E18251993,1,24,2021-05-13,Pessoal,10923.35,C00236,F0093
E46634183,1,36,2023-07-01,Consignado,2245.63,C00240,F0065
E62356950,1,24,2023-05-09,Automático,7487.78,C00242,F0027
E16466842,1,24,2022-01-24,Consignado,5723.45,C00242,F0037
E29158956,1,12,2023-09-06,Automático,7207.04,C00242,F0005
E91806589,0,18,2023-05-11,Refinanciamento,447.99,C00243,F0082
E10752875,1,12,2023-12-08,Consignado,407.13,C00243,F0062
E59669550,1,12,2023-06-21,Refinanciamento,941.38,C00243,F0076
E30952534,1,6,2022-08-05,Consignado,499.37,C00244,F0048
E68733990,1,36,2022-08-08,Refinanciamento,1185.24,C00246,F0092
E15558229,1,12,2023-02-23,Consignado,1007.76,C00246,F0029
E80180488,1,12,2022-01-02,Refinanciamento,378.41,C00246,F0021
E52653179,1,24,2022-07-20,Automático,1993.32,C00247,F0020
E58996088,1,36,2022-03-09,Automático,4784.42,C00247,F0060
E72980362,1,36,2023-06-07,Automático,4683.1,C00247,F0039
E13888146,1,36,2022-02-09,Pessoal,7984.02,C00249,F0029
E14882076,1,36,2022-05-06,Consignado,5431.81,C00249,F0003
E93971068,1,18,2022-03-01,Pessoal,10491.17,C00250,F0054
E89198116,1,24,2022-05-25,Automático,5648.18,C00252,F0010
E57762014,1,24,2022-10-07,Consignado,12962.39,C00252,F0023
E89312099,1,12,2023-01-11,Consignado,14350.16,C00252,F0064
E76289551,0,36,2022-07-25,Automático,601.21,C00253,F0079
E82671765,0,36,2023-06-04,Refinanciamento,1476.22,C00255,F0082
E44850920,1,12,2022-10-23,Pessoal,267.39,C00255,F0054
E22827276,0,24,2021-01-11,Automático,13160.36,C00257,F0076
E57908799,1,6,2022-06-04,Refinanciamento,9717.38,C00258,F0042
E48724544,1,12,2022-06-27,Automático,11845.2,C00258,F0013
E51857193,1,18,2022-01-14,Pessoal,33140.63,C00260,F0041
E68412021,1,18,2023-02-10,Consignado,15163.67,C00260,F0047
E83591301,0,24,2022-01-08,Consignado,5221.46,C00261,F0067
E26251478,0,12,2023-11-22,Consignado,4951.04,C00261,F0072
E18002701,1,36,2023-04-26,Automático,508.76,C00262,F0100
E36139023,1,24,2022-04-03,Consignado,663.29,C00262,F0003
E56240659,1,18,2021-02-09,Pessoal,1027.34,C00263,F0019
E49911552,1,18,2023-06-12,Pessoal,3664.85,C00263,F0070
E51705883,1,18,2022-04-08,Consignado,3806.36,C00263,F0028
E15038864,1,36,2023-12-14,Pessoal,9955.61,C00264,F0074
E43570841,1,12,2021-12-21,Pessoal,5212.66,C00264,F0001
E99164220,1,36,2021-07-27,Pessoal,1466.6,C00268,F0072
E77275697,1,12,2022-07-09,Pessoal,1343.72,C00268,F0094
E92827466,1,12,2021-01-06,Automático,1308.91,C00268,F0021
E44555193,1,12,2023-08-21,Pessoal,35509.77,C00269,F0031
E89491520,1,12,2021-08-11,Pessoal,4217.54,C00270,F0020
E25040321,1,36,2023-12-15,Pessoal,6197.81,C00270,F0045
E85002548,0,18,2022-03-22,Pessoal,7075.76,C00270,F0075
E28256905,1,24,2021-04-08,Pessoal,9055.81,C00271,F0079
E13435240,1,36,2022-01-24,Automático,1182.38,C00272,F0023
E68388143,0,12,2022-02-14,Refinanciamento,473.18,C00273,F0013
E48865817,1,18,2022-02-12,Automático,622.23,C00273,F0013
E21959412,1,18,2023-04-26,Refinanciamento,10110.37,C00274,F0043
E12747886,1,6,2023-06-12,Pessoal,14403.79,C00274,F0006
E97435112,1,24,2023-12-13,Pessoal,1270.54,C00277,F0017
E65240861,1,36,2022-02-18,Refinanciamento,1237.39,C00279,F0074
E97283269,1,36,2022-12-08,Refinanciamento,285.31,C00279,F0064
E96776567,1,24,2023-09-26,Automático,462.62,C00279,F0007
E93907307,1,24,2021-02-17,Pessoal,13599.0,C00280,F0091
E76659374,1,12,2022-04-02,Pessoal,6677.23,C00280,F0005
E81550321,1,36,2023-12-17,Consignado,12340.94,C00280,F0024
E83342163,1,18,2023-11-21,Refinanciamento,686.39,C00281,F0082
E35613982,1,12,2023-03-10,Automático,4526.53,C00282,F0040
E60380127,0,18,2022-01-01,Pessoal,4370.88,C00282,F0019
E37167869,1,24,2023-12-28,Automático,7043.15,C00282,F0082
E20440714,1,36,2021-05-18,Pessoal,265.91,C00283,F0031
E23829394,1,12,2022-03-27,Pessoal,241.81,C00283,F0020
E17880807,0,6,2023-06-18,Consignado,838.87,C00283,F0053
E45348927,1,24,2021-03-01,Automático,9313.26,C00285,F0067
E21267311,1,6,2021-01-25,Automático,7439.17,C00287,F0072
E61237273,1,24,2022-01-14,Refinanciamento,9275.75,C00287,F0034
E60816818,0,6,2022-05-21,Automático,429.96,C00288,F0062
E62607676,1,6,2023-07-23,Automático,845.78,C00288,F0021
E77791982,1,6,2022-07-15,Automático,478.19,C00288,F0091
E28218943,1,6,2023-04-15,Automático,11908.19,C00289,F0090
E26554127,1,12,2021-02-02,Refinanciamento,13159.56,C00289,F0009
E42223760,1,12,2023-02-28,Consignado,7989.21,C00290,F0098
E54409393,1,24,2023-02-08,Automático,2143.6,C00292,F0065
E26293904,1,24,2021-02-21,Refinanciamento,3931.7,C00292,F0048
E90645844,0,12,2022-01-07,Refinanciamento,693.59,C00297,F0075
E25254719,1,12,2023-03-12,Refinanciamento,7234.79,C00299,F0091
E77291478,1,36,2021-06-26,Pessoal,13578.63,C00299,F0058
E32776994,1,18,2022-10-12,Consignado,12859.72,C00299,F0078
E88405319,1,18,2022-11-21,Refinanciamento,7247.09,C00302,F0071
E81436806,1,18,2023-09-07,Refinanciamento,4401.0,C00302,F0005
E22386955,1,6,2022-01-16,Consignado,3439.9,C00302,F0064
E18812019,1,12,2022-12-19,Pessoal,14286.24,C00304,F0072
E66559847,1,24,2022-03-10,Consignado,433.18,C00305,F0084
E10405270,1,18,2021-10-05,Refinanciamento,1293.89,C00311,F0004
E71978625,1,18,2023-05-03,Pessoal,333.23,C00311,F0086
E61883497,1,18,2022-08-09,Refinanciamento,14887.66,C00316,F0012
E87384417,1,24,2022-12-09,Automático,498.75,C00317,F0074
E96395005,1,18,2023-08-11,Automático,1278.4,C00318,F0052
E76928170,0,6,2022-09-28,Automático,945.66,C00318,F0014
E52412800,1,6,2022-07-26,Consignado,14439.33,C00319,F0093
E10638960,1,24,2021-11-11,Automático,7307.11,C00320,F0038
E24753412,1,36,2022-01-17,Pessoal,13252.6,C00321,F0012
E20686321,1,36,2022-10-24,Consignado,2778.73,C00322,F0054
E50771771,1,12,2023-11-08,Pessoal,5580.46,C00322,F0018
E73085492,1,12,2021-09-19,Refinanciamento,1363.87,C00324,F0017
E19355605,1,12,2023-05-18,Consignado,725.56,C00325,F0056
E77330257,1,24,2023-06-14,Refinanciamento,1164.93,C00325,F0065
E95007260,1,24,2021-08-09,Pessoal,9987.68,C00328,F0093
E73728535,1,36,2021-01-23,Consignado,12322.02,C00328,F0089
E96720606,1,18,2022-03-15,Refinanciamento,7899.34,C00328,F0081
E52410304,1,12,2022-11-02,Pessoal,13708.65,C00329,F0014
E38907178,1,6,2022-12-21,Automático,7387.33,C00330,F0019
E27983594,0,18,2023-10-01,Pessoal,4555.28,C00331,F0060
E96561674,1,24,2023-08-21,Pessoal,1088.85,C00332,F0056
E15454008,1,12,2023-02-04,Consignado,791.52,C00332,F0048
E40850558,1,12,2022-02-27,Pessoal,1276.24,C00335,F0076
E50151348,1,6,2022-02-16,Pessoal,5580.5,C00336,F0015
E69772399,1,18,2022-04-12,Refinanciamento,6364.0,C00336,F0039
E73998734,1,12,2023-06-27,Consignado,5405.6,C00336,F0074
E42612583,1,6,2022-11-10,Automático,5736.77,C00337,F0098
E43716997,1,18,2022-07-09,Pessoal,4653.7,C00337,F0030
E10977816,1,18,2021-09-13,Pessoal,339.21,C00338,F0067
E72578218,0,24,2022-08-12,Pessoal,351.38,C00342,F0063
E95131485,1,24,2022-03-05,Consignado,1318.58,C00342,F0055
E65626644,1,6,2022-12-10,Refinanciamento,6618.48,C00344,F0055
E69508865,0,18,2022-10-05,Consignado,1450.05,C00346,F0053
E76326690,1,24,2021-05-28,Refinanciamento,1113.4,C00346,F0029
E95703218,1,12,2022-11-25,Automático,1272.75,C00347,F0052
E91867824,1,24,2023-10-17,Refinanciamento,1055.71,C00348,F0095
E90918726,1,12,2021-05-01,Consignado,1479.67,C00350,F0073
E82151027,1,12,2023-06-18,Pessoal,427.35,C00350,F0017
E93049796,1,36,2022-12-18,Consignado,488.29,C00350,F0049
E47560936,1,6,2023-01-25,Automático,9497.0,C00353,F0069
E35197303,1,24,2022-06-11,Refinanciamento,9826.88,C00353,F0020
E64838029,1,36,2022-05-02,Refinanciamento,9853.07,C00353,F0040
E48082077,1,12,2022-01-04,Consignado,416.46,C00357,F0010
E55644087,1,24,2023-06-01,Refinanciamento,863.79,C00357,F0088
E31443912,1,24,2023-07-23,Pessoal,1315.94,C00358,F0094
E23256118,1,6,2022-01-04,Consignado,1034.5,C00358,F0082
E10609510,1,36,2022-12-09,Consignado,396.62,C00358,F0043
E88702787,1,6,2023-04-11,Pessoal,2954.22,C00361,F0098
E83278950,1,6,2022-04-22,Consignado,4886.34,C00362,F0006
E73300852,1,6,2023-10-17,Refinanciamento,3133.87,C00362,F0013
E98476837,1,12,2021-10-06,Pessoal,7991.69,C00362,F0062
E81931294,1,24,2021-02-03,Consignado,6088.42,C00366,F0012
E93282093,1,6,2022-03-17,Pessoal,6047.1,C00366,F0025
E80018086,1,36,2022-11-22,Consignado,5190.73,C00367,F0080
E52696345,1,18,2023-07-04,Consignado,1096.77,C00368,F0089
E88983126,0,24,2022-02-18,Automático,1070.44,C00368,F0074
E84728298,1,24,2022-12-02,Consignado,8789.66,C00370,F0039
E30328647,1,6,2022-07-25,Consignado,1269.86,C00371,F0040
E51158766,1,6,2021-12-07,Consignado,7548.99,C00376,F0017
E12328248,1,18,2023-09-25,Automático,1113.67,C00378,F0022
E19008199,0,12,2022-04-05,Automático,373.75,C00378,F0040
E46448555,1,12,2022-01-14,Refinanciamento,1431.21,C00380,F0065
E56248065,1,18,2022-05-10,Pessoal,980.47,C00382,F0090
E99912041,1,6,2021-04-08,Automático,19180.62,C00385,F0066
E23052621,0,24,2022-12-28,Automático,553.33,C00388,F0038
E97003913,1,24,2023-03-20,Pessoal,1075.02,C00388,F0070
E30967879,1,24,2021-04-26,Refinanciamento,2300.33,C00389,F0099
E48669464,0,12,2023-11-26,Consignado,2490.33,C00389,F0074
E63106305,1,24,2022-01-02,Pessoal,2742.26,C00389,F0060
E83399906,1,24,2021-12-08,Refinanciamento,458.34,C00390,F0046
E37664400,1,18,2023-04-14,Consignado,1056.56,C00392,F0098
E34379631,0,36,2023-04-25,Refinanciamento,690.08,C00392,F0034
E31066377,1,6,2023-09-11,Refinanciamento,2219.42,C00393,F0063
E20554970,1,18,2023-05-26,Automático,10189.71,C00394,F0050
E40951780,0,24,2022-05-18,Refinanciamento,1287.7,C00395,F0082
E72593187,1,24,2023-03-18,Refinanciamento,2674.64,C00395,F0091
E80278714,1,24,2023-02-20,Pessoal,12839.56,C00396,F0042
E46510417,1,36,2023-10-15,Pessoal,14709.05,C00396,F0038
E41308578,1,36,2023-04-21,Pessoal,7010.69,C00396,F0031
E95896220,1,36,2022-03-10,Pessoal,250.65,C00397,F0006
E95710048,1,6,2023-01-18,Automático,461.44,C00397,F0017
E77543744,1,12,2022-08-18,Consignado,1444.54,C00399,F0039
E15495995,0,12,2023-11-09,Automático,6889.88,C00401,F0026
E56472327,1,6,2023-02-13,Consignado,6978.48,C00401,F0065
E27279460,1,12,2022-01-21,Consignado,1184.22,C00401,F0006
E34520372,1,12,2023-02-25,Consignado,511.21,C00403,F0030
E43825636,1,6,2023-12-18,Refinanciamento,592.55,C00403,F0099
E21467769,1,24,2023-08-03,Pessoal,719.98,C00403,F0042
E47405714,1,12,2023-05-23,Consignado,679.42,C00404,F0001
E52276150,0,12,2022-07-11,Pessoal,567.38,C00404,F0100
E97320518,1,24,2022-02-09,Refinanciamento,13247.73,C00405,F0074
E65312599,1,6,2022-06-16,Pessoal,6384.32,C00405,F0087
E46320905,1,12,2021-06-05,Pessoal,280.15,C00407,F0092
E13440894,1,12,2022-12-19,Pessoal,1410.02,C00407,F0035
E28060322,1,18,2021-02-18,Pessoal,664.88,C00407,F0062
E33887176,1,12,2023-09-14,Pessoal,1409.51,C00410,F0028
E99759884,1,6,2023-10-27,Consignado,7936.78,C00412,F0077
E58846428,1,12,2021-08-02,Consignado,618.07,C00413,F0080
